@relation 'house-votes-84-Imputed-weka.filters.unsupervised.attribute.Remove-V-R3-4,10-11,17'

@attribute adoption.of.the.budget.resolution {n,y}
@attribute physician.fee.freeze {y,n}
@attribute immigration {y,n}
@attribute synfuels.corporation.cutback {y,n}
@attribute Class {republican,democrat}

@data
n,y,y,y,republican
n,y,n,n,republican
y,n,n,y,democrat
y,n,n,y,democrat
y,n,n,y,democrat
y,n,n,n,democrat
n,y,n,n,democrat
n,y,n,n,republican
n,y,n,n,republican
y,n,n,n,democrat
n,y,n,y,republican
n,y,n,y,republican
y,n,n,n,democrat
y,n,y,y,democrat
n,y,n,n,republican
n,y,y,n,republican
y,n,y,y,democrat
y,n,n,n,democrat
n,y,n,n,republican
y,n,n,y,democrat
y,n,n,y,democrat
y,n,n,n,democrat
y,n,n,n,democrat
y,n,n,n,democrat
y,n,n,n,democrat
y,n,y,n,democrat
y,n,n,y,democrat
y,n,n,y,democrat
n,y,n,n,republican
y,n,n,y,democrat
n,y,n,n,republican
y,n,n,y,democrat
y,n,y,n,democrat
n,y,n,n,republican
y,n,n,n,democrat
n,y,n,n,republican
n,y,y,n,republican
n,y,n,n,republican
n,y,y,n,republican
y,n,y,y,democrat
y,n,n,y,democrat
y,n,n,n,democrat
y,n,n,n,democrat
y,n,n,n,democrat
y,n,n,y,democrat
y,n,n,y,democrat
y,n,n,n,democrat
y,n,n,n,democrat
y,n,n,n,democrat
n,y,n,n,republican
y,n,n,y,democrat
n,y,n,n,republican
y,n,n,n,democrat
n,y,y,n,republican
y,n,n,y,democrat
n,y,y,y,republican
n,y,y,y,republican
n,y,y,n,republican
n,y,y,n,republican
n,y,y,n,republican
y,n,y,n,democrat
n,y,n,n,republican
y,n,n,n,democrat
y,n,n,y,democrat
y,n,n,y,democrat
n,y,n,n,republican
n,y,n,y,republican
n,y,y,n,republican
y,n,n,n,democrat
y,n,n,n,democrat
y,n,n,n,democrat
y,y,y,y,republican
y,n,n,y,democrat
y,y,y,n,republican
y,n,y,y,democrat
y,y,y,y,democrat
y,n,y,y,democrat
y,y,y,y,democrat
y,n,y,y,democrat
n,y,y,n,republican
y,n,y,n,democrat
y,n,y,y,democrat
n,y,y,n,republican
n,y,n,n,republican
n,y,y,n,republican
y,n,y,y,democrat
n,y,y,n,republican
n,y,n,n,republican
y,n,y,y,democrat
n,y,y,n,republican
y,n,y,n,democrat
y,n,y,y,democrat
y,n,y,y,democrat
y,n,y,y,democrat
y,n,n,n,democrat
y,n,n,y,democrat
y,n,n,y,democrat
n,n,y,y,democrat
y,n,y,n,democrat
n,y,y,y,republican
n,n,n,y,democrat
y,n,n,y,democrat
